Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards,Season,Season_Year
338.0,Glenn McDonald,24.0,MIL,SF,9.0,,8.8,0.9,3.8,0.235,0.3,0.4,0.75,0.9,0.4,1.3,0.8,0.4,0.0,1.2,2.1,,1976-77,1977
339.0,Joe Pace,23.0,WSB,C,30.0,,4.0,0.8,1.8,0.436,0.5,1.0,0.552,0.5,0.6,1.1,0.1,0.1,0.6,1.0,2.1,,1976-77,1977
340.0,Marv Roberts,27.0,LAL,SF,28.0,,7.5,1.0,2.7,0.355,0.1,0.2,0.667,0.3,0.6,0.9,0.7,0.1,0.1,1.2,2.1,,1976-77,1977
341.0,Jimmy Jones,32.0,WSB,PG,3.0,,11.0,0.7,3.0,0.222,0.7,1.3,0.5,0.3,1.0,1.3,0.3,0.7,0.0,1.3,2.0,,1976-77,1977
342.0,Goo Kennedy,27.0,HOU,SF,32.0,,8.7,1.0,1.8,0.534,0.1,0.3,0.375,0.4,1.2,1.6,0.2,0.2,0.2,1.4,2.0,,1976-77,1977
343.0,Bobby Wilson,26.0,BOS,SG,25.0,,5.2,0.8,2.4,0.322,0.4,0.5,0.846,0.1,0.2,0.4,0.6,0.1,0.0,0.8,2.0,,1976-77,1977
344.0,Dale Schlueter,31.0,PHO,C,39.0,,8.6,0.7,1.8,0.361,0.5,0.8,0.581,0.8,1.3,2.1,1.0,0.2,0.2,1.6,1.8,,1976-77,1977
345.0,Chuckie Williams,23.0,CLE,SG,22.0,,3.0,0.6,2.1,0.298,0.4,0.5,0.75,0.1,0.0,0.2,0.3,0.0,0.0,0.3,1.7,,1976-77,1977
346.0,Mike Riordan,31.0,WSB,SF,49.0,,5.9,0.7,1.9,0.362,0.2,0.3,0.733,0.1,0.4,0.6,0.4,0.1,0.0,0.7,1.6,,1976-77,1977
347.0,Mike D'Antoni,25.0,SAS,SG,2.0,,4.5,0.5,1.5,0.333,0.5,1.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,1.5,1.5,,1976-77,1977
348.0,Clyde Mayes,23.0,3TM,PF,9.0,,5.8,0.6,2.1,0.263,0.3,0.8,0.429,1.1,0.7,1.8,0.3,0.0,0.4,1.3,1.4,,1976-77,1977
349.0,Clyde Mayes,23.0,IND,PF,2.0,,10.5,1.5,3.5,0.429,0.5,2.0,0.25,2.0,1.5,3.5,1.5,0.0,1.0,2.5,3.5,,1976-77,1977
350.0,Clyde Mayes,23.0,BUF,PF,2.0,,3.5,0.0,1.5,0.0,1.0,1.5,0.667,0.0,1.5,1.5,0.0,0.0,0.0,1.0,1.0,,1976-77,1977
351.0,Clyde Mayes,23.0,POR,PF,5.0,,4.8,0.4,1.8,0.222,0.0,0.0,,1.2,0.0,1.2,0.0,0.0,0.4,1.0,0.8,,1976-77,1977
352.0,Roger Brown,26.0,DET,C,43.0,,7.5,0.5,1.3,0.375,0.4,0.6,0.692,0.7,1.4,2.1,0.3,0.3,0.4,1.6,1.4,,1976-77,1977
353.0,Dean Meminger,28.0,NYK,SG,32.0,0.0,7.9,0.5,1.1,0.417,0.4,0.7,0.565,0.4,0.4,0.8,0.9,0.3,0.0,0.5,1.3,,1976-77,1977
354.0,Norton Barnhill,23.0,SEA,SG,4.0,,2.5,0.5,1.5,0.333,0.0,0.0,,0.5,0.3,0.8,0.3,0.0,0.0,1.3,1.0,,1976-77,1977
355.0,Darrell Elston,24.0,IND,SG,5.0,,8.0,0.4,2.8,0.143,0.2,0.4,0.5,0.2,1.0,1.2,0.4,0.2,0.0,1.2,1.0,,1976-77,1977
356.0,Keith Starr,22.0,CHI,SG,17.0,0.0,3.8,0.4,1.4,0.25,0.1,0.1,1.0,0.4,0.2,0.6,0.4,0.1,0.0,0.6,0.8,,1976-77,1977
357.0,Willie Smith,23.0,CHI,PG,2.0,0.0,5.5,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,1976-77,1977
,League Average,,,,,,,,,0.465,,,0.751,,,,,,,,,,1976-77,1977
