Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season,Season_Year
365.0,Larry Moffett,23.0,HOU,SF,20.0,,5.5,0.3,0.9,0.294,0.3,0.5,0.6,0.5,0.6,1.1,0.4,0.1,0.1,0.4,0.8,0.8,,1977-78,1978
366.0,Steve Kuberski,30.0,BOS,PF,3.0,,4.7,0.3,1.3,0.25,0.0,0.0,,0.3,1.7,2.0,0.0,0.3,0.0,0.7,0.7,0.7,,1977-78,1978
367.0,Phil Bond,23.0,HOU,SG,7.0,,3.0,0.3,0.9,0.333,0.0,0.0,,0.1,0.4,0.6,0.3,0.1,0.0,0.3,0.1,0.6,,1977-78,1978
368.0,Willie Wise,30.0,SEA,SF,2.0,,5.0,0.0,1.5,0.0,0.5,2.0,0.25,1.0,0.5,1.5,0.0,0.0,0.0,0.0,1.0,0.5,,1977-78,1978
369.0,Glenn Hansen,25.0,2TM,SG,5.0,0.0,2.6,0.0,1.4,0.0,0.0,0.0,,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.6,0.0,,1977-78,1978
370.0,Glenn Hansen,25.0,CHI,SG,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,1977-78,1978
371.0,Glenn Hansen,25.0,KCK,SG,3.0,,3.0,0.0,1.7,0.0,0.0,0.0,,0.3,0.0,0.3,0.3,0.3,0.0,0.0,1.0,0.0,,1977-78,1978
372.0,Andre McCarter,24.0,KCK,PG,1.0,,9.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,1977-78,1978
373.0,Willie Smith,24.0,IND,PG,1.0,,7.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,1977-78,1978
374.0,Dean Tolson,26.0,SEA,PF,1.0,,7.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,,1977-78,1978
,League Average,,,,,,,,,0.469,,,0.752,,,,,,,,,,,1977-78,1978
